DATE,Holiday
12/31/10,New Year's Day
1/17/11,"Birthday of Martin Luther King, Jr."
2/21/11,Washington's Birthday
5/30/11,Memorial Day
7/4/11,Independence Day
9/5/11,Labor Day
10/10/11,Columbus Day
11/11/11,Veterans Day
11/24/11,Thanksgiving Day
12/26/11,Christmas Day
1/2/12,New Year's Day
1/16/12,"Birthday of Martin Luther King, Jr."
2/20/12,Washington's Birthday
5/28/12,Memorial Day
7/4/12,Independence Day
9/3/12,Labor Day
10/8/12,Columbus Day
11/12/12,Veterans Day
11/22/12,Thanksgiving Day
12/25/12,Christmas Day
1/1/13,New Year's Day
1/21/13,"Birthday of Martin Luther King, Jr."
2/18/13,Washington's Birthday
5/27/13,Memorial Day
7/4/13,Independence Day
9/2/13,Labor Day
10/14/13,Columbus Day
11/11/13,Veterans Day
11/28/13,Thanksgiving Day
12/25/13,Christmas Day
1/1/14,New Year's Day
1/20/14,"Birthday of Martin Luther King, Jr."
2/17/14,Washington's Birthday
5/26/14,Memorial Day
7/4/14,Independence Day
9/1/14,Labor Day
10/13/14,Columbus Day
11/11/14,Veterans Day
11/27/14,Thanksgiving Day
12/25/14,Christmas Day
1/1/15,New Year's Day
1/19/15,"Birthday of Martin Luther King, Jr."
2/16/15,Washington's Birthday
5/25/15,Memorial Day
7/3/15,Independence Day
9/7/15,Labor Day
10/12/15,Columbus Day
11/11/15,Veterans Day
11/26/15,Thanksgiving Day
12/25/15,Christmas Day
1/1/16,New Year's Day
1/18/16,"Birthday of Martin Luther King, Jr."
2/15/16,Washington's Birthday
5/30/16,Memorial Day
7/4/16,Independence Day
9/5/16,Labor Day
10/10/16,Columbus Day
11/11/16,Veterans Day
11/24/16,Thanksgiving Day
12/26/16,Christmas Day
1/2/17,New Year's Day
1/16/17,"Birthday of Martin Luther King, Jr."
2/20/17,Washington's Birthday
5/29/17,Memorial Day
7/4/17,Independence Day
9/4/17,Labor Day
10/9/17,Columbus Day
11/10/17,Veterans Day
11/23/17,Thanksgiving Day
12/25/17,Christmas Day
1/1/18,New Year's Day
1/15/18,"Birthday of Martin Luther King, Jr."
2/19/18,Washington's Birthday
5/28/18,Memorial Day
7/4/18,Independence Day
9/3/18,Labor Day
10/8/18,Columbus Day
11/12/18,Veterans Day
11/22/18,Thanksgiving Day
12/25/18,Christmas Day
1/1/19,New Year's Day
1/21/19,"Birthday of Martin Luther King, Jr."
2/18/19,Washington's Birthday
5/27/19,Memorial Day
7/4/19,Independence Day
9/2/19,Labor Day
10/14/19,Columbus Day
11/11/19,Veterans Day
11/28/19,Thanksgiving Day
12/25/19,Christmas Day
1/1/20,New Year's Day
1/20/20,"Birthday of Martin Luther King, Jr."
2/17/20,Washington's Birthday
5/25/20,Memorial Day
7/3/20,Independence Day
9/7/20,Labor Day
10/12/20,Columbus Day
11/11/20,Veterans Day
11/26/20,Thanksgiving Day
12/25/20,Christmas Day